,ClipID,Boredom,Engagement,Confusion,Frustration 
0,1100011002.avi,0,2,0,0
1,1100011003.avi,0,2,0,0
2,1100011004.avi,0,3,0,0
3,1100011005.avi,0,3,0,0
4,1100011006.avi,0,3,0,0
5,1100011007.avi,1,2,0,0
6,1100011008.avi,0,3,0,0
7,1100011009.avi,0,2,1,0
8,1100011010.avi,0,3,0,0
9,1100011011.avi,0,3,0,0
10,1100011012.avi,0,2,2,0
11,1100011013.avi,0,3,0,0
12,1100011014.avi,0,3,0,0
13,1100011015.avi,0,3,0,0
14,1100011016.avi,0,3,0,0
15,1100011017.avi,0,3,0,0
16,1100011018.avi,0,3,0,0
17,1100011019.avi,0,3,0,0
18,1100011020.avi,0,3,0,0
19,1100011021.avi,0,3,0,0
20,1100011022.avi,0,3,0,0
21,1100011023.avi,0,3,0,0
22,1100011025.avi,0,3,0,0
23,1100011026.avi,0,3,0,0
24,1100011027.avi,0,3,0,0
25,1100011028.avi,0,3,0,0
26,1100011029.avi,0,3,0,0
27,1100011031.avi,0,3,0,0
28,1100011032.avi,0,3,0,0
29,1100011034.avi,0,3,0,0
30,1100011035.avi,0,3,0,0
31,1100011037.avi,0,3,0,0
32,1100011038.avi,0,3,0,0
33,1100011040.avi,1,2,0,0
34,1100011046.avi,0,3,0,0
35,1100011047.avi,0,3,0,0
36,1100011048.avi,1,2,1,1
37,1100011049.avi,0,3,0,0
38,1100011050.avi,0,3,0,0
39,1100011051.avi,0,3,1,0
40,1100011052.avi,1,3,0,1
41,1100011053.avi,0,3,0,0
42,1100011054.avi,0,3,0,0
43,1100011055.avi,0,3,0,0
44,1100011056.avi,0,3,0,0
45,1100011057.avi,1,3,0,0
46,1100011058.avi,0,3,0,0
47,1100011059.avi,0,3,1,0
48,1100011060.avi,1,3,1,1
49,1100011062.avi,0,3,0,0
50,1100011063.avi,0,3,0,0
51,1100011064.avi,0,3,0,0
52,1100011066.avi,1,3,0,0
53,1100011067.avi,0,3,0,0
54,1100011068.avi,0,3,0,0
55,1100011069.avi,0,3,0,0
56,1100011070.avi,0,3,0,0
57,1100011071.avi,0,3,0,0
58,1100011072.avi,0,3,0,0
59,1100011073.avi,0,3,0,0
60,1100011075.avi,0,3,0,0
61,1100011076.avi,0,3,0,0
62,1100011078.avi,0,2,0,0
63,1100011079.avi,0,3,0,0
64,1100011080.avi,0,3,0,0
65,1100011081.avi,0,3,0,0
66,1100011082.avi,0,3,0,0
67,1100011083.avi,0,3,0,0
68,1100012001.avi,0,3,0,0
69,1100012003.avi,0,3,0,0
70,1100012007.avi,0,3,0,1
71,1100012008.avi,0,3,0,0
72,1100012009.avi,0,3,0,0
73,1100012010.avi,0,3,3,0
74,1100012011.avi,0,3,0,1
75,1100012013.avi,0,3,0,0
76,1100012014.avi,0,3,0,0
77,1100012015.avi,0,3,0,0
78,1100012016.avi,0,3,0,0
79,1100012017.avi,0,3,1,0
80,1100012018.avi,0,3,0,0
81,1100012021.avi,1,2,0,0
82,1100012022.avi,0,3,0,0
83,1100012023.avi,0,3,0,0
84,1100012025.avi,0,3,0,0
85,1100012026.avi,1,3,0,0
86,1100012027.avi,0,3,0,0
87,1100012028.avi,0,3,0,0
88,1100012030.avi,0,3,0,0
89,1100012031.avi,0,3,0,0
90,1100012032.avi,0,3,0,0
91,1100012033.avi,0,3,0,0
92,1100012036.avi,0,3,0,0
93,1100012037.avi,0,3,0,0
94,1100012038.avi,0,3,0,0
95,1100012041.avi,0,3,0,0
96,1100012042.avi,0,2,0,0
97,1100012045.avi,0,2,0,0
98,1100012046.avi,0,3,0,0
99,1100012047.avi,0,2,0,0
100,1100012049.avi,0,3,0,0
101,1100012050.avi,0,3,0,0
102,1100012051.avi,0,3,1,0
103,1100012052.avi,0,3,0,0
104,1100012057.avi,1,3,1,1
105,1100012059.avi,0,3,0,0
106,1100012060.avi,0,3,0,0
107,1100012061.avi,0,3,0,0
108,1100012062.avi,0,3,0,0
109,1100012063.avi,0,3,0,0
110,1100012064.avi,0,3,0,0
111,1100012065.avi,0,3,1,1
112,1100012066.avi,0,3,0,0
113,1100012069.avi,0,3,0,0
114,1100021001.avi,0,2,0,0
115,1100021003.avi,0,1,0,0
116,1100021015.avi,2,2,0,1
117,1100021038.avi,0,2,0,0
118,1100021039.avi,1,2,2,2
119,1100021040.avi,0,3,0,0
120,1100021045.avi,1,3,0,1
121,1100021050.avi,0,3,0,2
122,1100021055.avi,3,1,0,0
123,1100022001.avi,2,3,1,1
124,1100022002.avi,2,2,0,0
125,1100022003.avi,2,3,1,1
126,1100022004.avi,2,3,0,1
127,1100022005.avi,2,1,0,0
128,1100022008.avi,2,2,1,1
129,1100022009.avi,2,3,0,0
130,1100022014.avi,0,3,1,0
131,1100022019.avi,1,3,1,1
132,1100022020.avi,0,2,0,0
133,1100022021.avi,1,2,1,0
134,1100022022.avi,3,2,0,1
135,1100022026.avi,0,3,0,0
136,1100022027.avi,1,3,1,1
137,1100022028.avi,0,3,0,0
138,1100022029.avi,0,3,0,0
139,1100022031.avi,0,3,1,1
140,1100022035.avi,0,2,1,0
141,1100022038.avi,1,3,1,1
142,1100022039.avi,1,3,0,1
143,1100022045.avi,0,3,0,0
144,1100022046.avi,0,3,0,0
145,1100022047.avi,1,3,3,0
146,1100022048.avi,0,2,2,0
147,1100022049.avi,0,2,3,0
148,1100022051.avi,0,3,3,1
149,1100022052.avi,0,2,2,0
150,1100022053.avi,0,2,2,1
151,1100022054.avi,1,2,0,0
152,1100022055.avi,1,2,0,0
153,1100022056.avi,0,3,0,0
154,1100022057.avi,0,2,0,0
155,1100041006.avi,0,3,0,0
156,1100041015.avi,2,3,0,0
157,1100041016.avi,0,3,0,0
158,1100041017.avi,2,2,0,2
159,1100041018.avi,2,2,0,0
160,1100041021.avi,0,2,0,0
161,1100041022.avi,2,2,0,0
162,1100041023.avi,2,2,2,1
163,1100041024.avi,2,2,0,0
164,1100041029.avi,0,3,0,0
165,1100041034.avi,0,2,0,0
166,1100041044.avi,0,2,0,0
167,1100041051.avi,0,3,0,0
168,1100041052.avi,0,2,0,0
169,1100042009.avi,2,2,1,1
170,1100042010.avi,2,2,0,0
171,1100042011.avi,2,2,1,1
172,1100042017.avi,2,2,0,0
173,1100042018.avi,0,2,0,0
174,1100042019.avi,0,3,0,0
175,1100042020.avi,0,3,0,0
176,1100042023.avi,3,1,1,0
177,1100042024.avi,2,2,1,0
178,1100042025.avi,1,2,0,0
179,1100042026.avi,2,1,1,0
180,1100042029.avi,0,3,1,0
181,1100042030.avi,0,2,1,0
182,1100042031.avi,2,3,2,0
183,1100042034.avi,1,2,0,0
184,1100042040.avi,1,2,0,0
185,1100042041.avi,0,3,0,0
186,1100042058.avi,1,2,2,0
187,1100042059.avi,2,2,0,1
